Date,Marriages
2023-January-01,563
2023-February-01,617
2023-March-01,929
2023-April-01,1086
2023-May-01,1507
2023-June-01,1507
2023-July-01,1628
2023-August-01,1649
2023-September-01,1156
2023-October-01,811
2023-November-01,606
2023-December-01,647
